When,Latitude,Longitude,Magnitude,Epicentre,Remarks
2015/04/25 20:25,27.73,85.9,5,Sindhupalchowk,NSC
2015/04/25 20:36,28.14,85.16,4.4,Rasuwa,NSC
2015/04/25 21:02,27.95,85.56,4.2,Sindhupalchowk,NSC
2015/04/25 22:12,27.92,85.64,5.3,Sindhupalchowk,NSC
2015/04/25 22:31,27.8,85.29,4,Nuwakot,NSC
2015/04/25 23:19,27.77,85.83,4.1,Sindhupalchowk,NSC
2015/04/25 23:24,27.9,85.53,4,Sindhupalchowk,NSC
2015/04/25 23:25,27.78,85.17,4,Nuwakot,NSC
2015/04/25 23:27,28.34,85.91,5.6,Tibet,NSC
2015/04/25 23:40,28.1,85.27,4,Rasuwa,NSC
2015/04/25 23:46,27.78,85.98,4.1,Sindhupalchowk,NSC
2015/04/26 00:14,27.94,85.55,4.1,Sindhupalchowk,NSC
2015/04/26 00:43,27.71,85.43,4.6,Kathmandu,NSC
2015/04/26 01:29,27.93,85.56,4.1,Sindhupalchowk,NSC
2015/04/26 01:49,28.05,85.35,4,Rasuwa,NSC
2015/04/26 01:52,28.14,84.71,4.2,Gorkha,NSC
2015/04/26 01:56,27.93,85.56,4.4,Sindhupalchowk,NSC
2015/04/26 02:08,28.25,85.83,4,Rasuwa,NSC
2015/04/26 02:14,28.24,84.82,4.3,Gorkha,NSC
2015/04/26 02:17,27.6,85.96,4.8,Sindhupalchowk,NSC
2015/04/26 02:52,27.82,85.8,4.8,Sindhupalchowk,NSC
2015/04/26 05:01,27.99,85.02,5.5,Nuwakot,NSC
2015/04/26 05:25,27.69,85.25,4,Kathmandu,NSC
2015/04/26 05:26,27.67,86.07,4.5,Dolakha,NSC
2015/04/26 05:32,28.05,85.34,4,Rasuwa,NSC
2015/04/26 06:00,27.67,85.28,4,Kathmandu,NSC
2015/04/26 06:16,27.84,85.12,4,Nuwakot,NSC
2015/04/26 08:43,28.32,84.73,4.5,Gorkha,NSC
2015/04/26 08:55,27.8,85.16,5.1,Nuwakot,NSC
2015/04/26 09:06,27.64,85.63,5,Kavrepalanchowk,NSC
2015/04/26 10:35,28.04,85.5,4.5,Sindhupalchowk,NSC
2015/04/26 10:43,28.26,85.02,4.8,Gorkha/Dhading,NSC
2015/04/26 12:54,27.84,86.05,6.9,Sindhupalchowk/Dolakha,NSC
2015/04/26 13:12,27.75,85.94,5.3,Sindhupalchowk,NSC
2015/04/26 13:22,27.94,86.05,5,Sindhupalchowk/Tibet,NSC
2015/04/26 14:25,27.79,86,4.8,Sindhupalchowk,NSC
2015/04/26 14:31,27.97,85.81,4.5,Sindhupalchowk,NSC
2015/04/26 15:27,27.77,85.91,4.5,Sindhupalchowk,NSC
2015/04/26 18:56,27.89,85.6,5,Sindhupalchowk,NSC
2015/04/26 19:08,27.68,85.95,4,Sindhupalchowk/Dolakha,NSC
2015/04/26 20:17,27.79,85.15,4,Nuwakot,NSC
2015/04/26 20:29,27.72,85.97,4.5,Sindhupalchowk,NSC
2015/04/26 20:42,28.31,84.97,4.5,Gorkha,NSC
2015/04/26 21:47,27.65,85.97,4,Dolakha,NSC
2015/04/26 22:08,27.67,85.3,4,Kathmandu,NSC
2015/04/26 22:10,27.95,85.87,5.3,Sindhupalchowk,NSC
2015/04/26 22:42,27.83,86.06,4,Dolakha Sindhupalchowk,NSC
2015/04/26 23:51,27.91,85.55,4.2,Sindhupalchowk,NSC
2015/04/27 00:39,28.26,85.1,4.5,Rasuwa,NSC
2015/04/27 03:37,27.75,85.2,4.1,Kathmandu,NSC
2015/04/27 04:15,27.56,85.73,4.2,Kavrepalanchowk,NSC
2015/04/27 04:17,27.57,85.74,4.5,Kavrepalanchowk,NSC
2015/04/27 04:27,27.82,85.76,4.4,Sindhupalchowk,NSC
2015/04/27 06:24,27.77,85.12,4.7,Nuwakot,NSC
2015/04/27 08:18,27.67,85.55,4.2,Kavrepalanchowk,NSC
2015/04/27 09:59,28.24,85.23,4.3,Rasuwa,NSC
2015/04/27 10:05,27.93,85.86,4,Sindhupalchowk,NSC
2015/04/27 15:17,27.8,85.12,4,Nuwakot,NSC
2015/04/27 21:36,27.67,85.29,4.5,Kathmandu,NSC
2015/04/27 22:39,27.82,85.89,4.2,Sindhupalchowk,NSC
2015/04/27 23:30,28.19,85.03,4,Dhading,NSC
2015/04/28 00:44,28.29,84.93,4.8,Gorkha/Dhading,NSC
2015/04/28 02:59,27.92,85.51,4.2,Sindhupalchowk,NSC
2015/04/28 03:12,27.89,85.76,4.2,Sindhupalchowk,NSC
2015/04/28 04:11,28.1,84.65,4.2,Gorkha,NSC
2015/04/28 05:05,28.1,85.49,4.9,Rasuwa/Sindhupalchowk,NSC
2015/04/28 07:45,27.81,86.09,4.2,Dolakha,NSC
2015/04/28 08:40,27.76,85.8,4,Sindhupalchowk,NSC
2015/04/28 12:08,27.96,85.55,4,Sindhupalchowk,NSC
2015/04/28 15:10,27.83,85.83,4,Sindhupalchowk,NSC
2015/04/28 16:44,27.78,85.17,4,Nuwakot,NSC
2015/04/28 17:03,27.88,85.88,4.2,Sindhupalchowk,NSC
2015/04/28 22:07,28.2,84.78,4,Gorkha,NSC
2015/04/29 04:49,27.93,85.63,4,Sindhupalchowk,NSC
2015/04/29 05:54,27.79,85.14,4.2,Nuwakot,NSC
2015/04/29 13:17,28.04,85.37,4,Nuwakot,NSC
2015/04/29 15:24,27.86,84.89,4.5,Dhading,NSC
2015/04/29 17:12,27.95,85.52,4.5,Sindhupalchowk,NSC
2015/04/29 23:01,28.19,84.8,4.4,Gorkha,NSC
2015/04/30 06:22,27.93,84.83,4.7,Dhading,NSC
2015/04/30 08:31,28.05,85.34,4.7,Rasuwa,NSC
2015/04/30 13:29,27.65,86.09,4.1,Dolakha,NSC
2015/04/30 23:19,27.92,85.87,4.3,Sindhupalchowk,NSC
2015/05/01 00:58,27.7,85.98,4.2,Sindhupalchowk/Dolakha,NSC
2015/05/01 02:56,27.68,85.3,4,Kathmandu,NSC
2015/05/01 10:35,27.75,85.95,4,Sindhupalchowk,NSC
2015/05/01 11:28,28.04,85.33,4.5,Rasuwa,NSC
2015/05/01 17:37,27.74,85.99,4,Dolakha,NSC
2015/05/01 20:27,27.88,85.87,4.2,Sindhupalchowk,NSC
2015/05/01 23:59,28.04,85.32,4,Rasuwa,NSC
2015/05/02 03:55,27.95,85.73,4.2,Sindhupalchowk,NSC
2015/05/02 05:55,27.74,86.28,4.3,Dolakha,NSC
2015/05/02 09:32,27.93,85.5,4.2,Sindhupalchowk,NSC
2015/05/02 11:13,27.72,85.74,4,Sindhupalchowk,NSC
2015/05/02 11:20,28.24,84.76,5.1,Gorkha,NSC
2015/05/02 21:01,27.66,86.01,4.1,Dolakha,NSC
2015/05/03 03:29,27.69,85.93,4.5,Sindhupalchowk,NSC
2015/05/03 05:47,28.08,85.04,4,Gorkha,NSC
2015/05/03 08:00,27.98,84.87,4.1,Dhading,NSC
2015/05/03 10:46,27.94,84.83,4.5,Dhading,NSC
2015/05/03 17:20,27.8,85.11,4.9,Nuwakot,NSC
2015/05/03 18:58,27.89,85.73,4,Sindhupalchowk,NSC
2015/05/03 20:27,28.09,85.72,4.2,Sindhupalchowk,NSC
2015/05/03 22:39,28.05,84.94,4,Dhading,NSC
2015/05/04 04:59,27.75,85.87,4.2,Sindhupalchowk,NSC
2015/05/04 07:00,27.69,85.99,4.3,Dolakha,NSC
2015/05/04 09:54,27.97,85.21,4.2,Nuwakot/Rasuwa,NSC
2015/05/04 10:33,27.79,85.16,4,Nuwakot,NSC
2015/05/04 10:36,27.8,85.16,4.1,Nuwakot,NSC
2015/05/04 13:17,28.12,84.8,4,Gorkha,NSC
2015/05/04 14:34,27.79,86.23,4.7,Dolakha,NSC
2015/05/04 15:40,27.95,85.86,4.4,Sindhupalchowk,NSC
2015/05/04 18:02,27.74,86,4.2,Sindhupalchowk/Dolakha,NSC
2015/05/05 06:39,28.06,85.05,4,Dhading /Nuwakot,NSC
2015/05/05 16:23,27.74,86.03,4.3,Sindhupalchowk/Dolakha,NSC
2015/05/05 17:00,27.96,86,4.2,Sindhupalchowk,NSC
2015/05/06 18:02,28.01,84.68,4.2,Gorkha,NSC
2015/05/06 22:19,28.04,85.26,4,Rasuwa,NSC
2015/05/07 03:41,27.75,85.19,4.2,Nuwakot,NSC
2015/05/07 07:56,27.79,85.16,4,Nuwakot,NSC
2015/05/07 22:15,27.92,85.46,4,Nuwakot,NSC
2015/05/08 02:19,27.94,85.58,4,Sindhupalchowk,NSC
2015/05/08 06:17,27.69,86.04,5,Dolakha/Sindhupalchok,NSC
2015/05/08 08:19,27.75,28.91,4.2,Sindhupalchowk,NSC
2015/05/08 13:32,27.77,85.88,4.8,Sindhupalchowk,NSC
2015/05/08 15:05,28.01,85.41,4.2,Rasuwa/Nuwakot,NSC
2015/05/09 03:08,28.04,85.2,4.1,Rasuwa,NSC
2015/05/10 01:50,28.04,85.96,4.2,Sindhupalchowk/Tibet,NSC
2015/05/10 06:34,27.88,86,4.4,Sindhupalchowk,NSC
2015/05/10 11:08,28.02,85.25,4,Rasuwa,NSC
2015/05/10 15:23,27.65,85.56,4.2,kavre,NSC
2015/05/11 20:35,27.99,85.86,4.2,Sindhupalchowk,NSC
2015/05/11 23:54,27.91,85.75,4,Sindhupalchowk,NSC
2015/05/12 00:07,28.1,84.91,4,Dhading,NSC
2015/05/12 02:08,28.16,84.9,4.1,Gorkha/Dhading,NSC
2015/05/12 12:50,27.82,86.12,6.8,Dolakha/Shindhupalchok,NSC/RSC
2015/05/12 13:02,27.84,86.17,5.8,Dolakha,NSC
2015/05/12 13:21,27.73,86.21,6.2,Dolakha,NSC/RSC
2015/05/12 13:28,27.69,86.24,5,Dolakha,NSC
2015/05/12 13:33,27.63,86.17,4.8,Dolakha,NSC
2015/05/12 13:46,27.68,86.04,4.3,Dolakha,NSC
2015/05/12 13:51,27.8,85.94,5.1,Sindhupalchok,NSC
2015/05/12 13:58,27.8,85.83,5.3,Sindhupalchok,NSC
2015/05/12 14:06,27.66,86.17,5.2,Dolakha,NSC
2015/05/12 14:09,27.79,86.11,5,Dolakha,NSC
2015/05/12 14:19,27.88,85.94,4.8,Sindhupalchok,NSC
2015/05/12 14:20,27.68,86.23,4.7,Dolakha,NSC
2015/05/12 14:24,27.69,86.21,4.7,Dolakha,NSC
2015/05/12 14:44,27.76,86.31,5.3,Dolakha,NSC
2015/05/12 14:47,27.8,86.12,4.7,Dolakha,NSC
2015/05/12 15:14,27.7,86.01,4.2,Dolakha,NSC
2015/05/12 15:29,27.8,85.95,4.2,Sindhupalchok,NSC
2015/05/12 15:49,27.68,86.03,4.4,Dolakha,NSC
2015/05/12 16:00,27.57,86.29,4.8,Dolakha/Ramechhap,NSC
2015/05/12 16:16,27.69,86.05,4.2,Dolakha,NSC
2015/05/12 16:20,27.73,86.11,5,Dolakha,NSC
2015/05/12 16:26,27.76,86.24,4.4,Dolakha/Ramechhap,NSC
2015/05/12 16:51,27.62,86.16,4.7,Dolakha,NSC
2015/05/12 17:06,27.72,86.2,4.6,Dolakha,NSC
2015/05/12 17:43,27.71,86,4.3,Dolakha,NSC
2015/05/12 18:13,27.7,86.04,4.7,Dolakha,NSC
2015/05/12 18:47,27.89,85.88,4.4,Sindhupalchok,NSC
2015/05/12 18:53,27.72,85.97,4,Dolakha/Sindhupalchok,NSC
2015/05/12 19:28,27.78,85.85,4.3,Sindhupalchok,NSC
2015/05/12 19:42,27.84,86.23,4.4,Dolakha,NSC
2015/05/12 20:44,28.03,86.36,4.1,Dolakha/Tibet,NSC
2015/05/12 21:13,27.97,86.45,4.8,Dolakha/Tibet,NSC
2015/05/12 22:17,27.68,86.04,4.2,Dolakha,NSC
2015/05/12 23:13,27.58,86.41,4.3,Dolakha/Ramechhap,NSC
2015/05/13 02:07,27.68,85.3,4.2,Kathmandu,NSC
2015/05/13 03:10,27.91,84.82,5.9,Dhading,NSC
2015/05/13 03:42,27.85,85.92,4.2,Sindhupalchok,NSC
2015/05/13 04:38,27.82,86.47,4.3,Dolakha,NSC
2015/05/13 08:08,27.65,86.18,4.4,Dolakha,NSC
2015/05/13 08:28,27.75,86.25,4.4,Dolakha,NSC
2015/05/13 10:33,27.79,86.19,4.6,Dolakha,NSC
2015/05/13 12:11,27.69,86.11,4.7,Sindhupalchok,NSC
2015/05/13 12:22,27.79,86.07,4.8,Dolakha/Sindhupalchowk,NSC
2015/05/13 12:34,27.84,86.25,4.6,Dolakha,NSC
2015/05/13 12:38,27.68,86.17,5.1,Dolakha,NSC
2015/05/13 14:30,27.6,86.16,4.3,Dolakha,NSC
2015/05/13 15:37,27.85,86.29,4,Dolakha,NSC
2015/05/13 16:44,27.63,86.17,4.5,Dolakha,NSC
2015/05/13 21:21,27.64,85.7,4,Kavrepalanchok,NSC
2015/05/13 21:36,27.7,86.15,4.1,Dolakha,NSC
2015/05/14 00:16,27.92,86.31,4.3,Dolakha,NSC
2015/05/14 03:13,27.66,86.07,4.1,Dolakha,NSC
2015/05/14 03:23,27.67,86.08,5,Dolakha,NSC
2015/05/14 08:52,27.8,85.82,4,Sindupalchok,NSC
2015/05/14 09:06,27.83,86.15,4.5,Dolakha,NSC
2015/05/14 15:20,27.62,86.09,4.2,Dolakha,NSC
2015/05/14 19:43,27.75,86.14,4,Dolakha,NSC
2015/05/14 20:21,28.06,85.35,4.5,Rasuwa,NSC
2015/05/14 20:50,27.71,86.04,4,Dolakha,NSC
2015/05/14 21:40,27.84,85.84,4,Sindhupalchowk,NSC
2015/05/15 03:38,27.63,86.25,4.1,Dolakha,NSC
2015/05/15 04:06,27.69,86.08,4.3,Dolakha,NSC
2015/05/15 07:27,27.93,84.84,5.5,Dhading,NSC
2015/05/15 10:51,27.92,84.84,4,Dhading,NSC
2015/05/15 15:09,27.61,86.2,4.5,Dolakha,NSC
2015/05/15 22:58,27.74,86.17,4,Dolakha,NSC
2015/05/16 02:15,28.07,84.7,4,Gorkha,NSC
2015/05/16 04:28,27.65,86.12,4.1,Dolakha,NSC
2015/05/16 04:38,27.66,86.09,4.1,Dolakha,NSC
2015/05/16 06:11,27.97,85.48,4,Nuwakot,NSC
2015/05/16 06:31,28.13,84.89,4,Gorkha/Dhading,NSC
2015/05/16 09:24,27.7,85.85,4.2,Sindhupalchowk,NSC
2015/05/16 09:35,27.45,85.31,4.2,Lalitpur/Makawanapur,NSC
2015/05/16 17:19,27.6,86.26,5.5,Dolakha,NSC
2015/05/16 20:44,27.64,86.14,4.3,Dolakha,NSC
2015/05/17 05:00,27.73,86.06,4.4,Dolakha,NSC
2015/05/17 11:30,27.48,85.87,4.6,Ramechhap,NSC
2015/05/17 20:40,27.84,86.24,4.4,Dolakha,NSC
2015/05/18 09:11,27.71,86.07,4.2,Dolakha,NSC
2015/05/18 11:24,27.69,86.26,4,Dolakha,NSC
2015/05/18 18:27,28.11,84.88,4.1,Dhading / Gorkha,NSC
2015/05/19 04:34,27.66,86.03,4.3,Dolakha,NSC
2015/05/19 11:29,27.9,85.99,4,Sindhupalchowk,NSC
2015/05/19 16:44,27.92,86.04,4.2,Sindhupalchowk,NSC
2015/05/20 11:10,27.84,86.33,4.2,Dolakha,NSC
2015/05/20 14:47,27.52,85.26,4.4,Kathmandu/Lalitput/Makawanpur,NSC
2015/05/21 14:11,27.85,86.32,4.2,Dolakha,NSC	
2015/05/21 14:56,27.93,85.46,4.0,Nuwakot,NSC	
2015/05/21 19:30,28.02,84.98,4.0,Dhading,NSC	
2015/05/22 14:45,27.79,85.14,4.2,Dhading /Nuwakot,NSC	
2015/05/22 16:44,28.05,85.08,4.8,Dhading/Nuwakot,NSC	
2015/05/22 17:30,27.63,86.25,4.1,Dolakha,NSC	
2015/05/22 18:49,27.78,85.93,4.0,Sindhupalchowk,NSC	
2015/05/22 20:44,27.69,86.16,4.1,Dolakha,NSC	
2015/05/23 13:14,27.74,86.20,4.2,Dolakha,NSC	
2015/05/23 22:26,27.90,85.51,4.4,Sindhupalchok,NSC	
2015/05/24 07:06,27.67,86.18,4.2,Dolakha,NSC	
2015/05/24 10:38,27.76,86.28,4.4,Dolakha,NSC	
2015/05/24 11:46,27.84,86.00,4.2,Sindhupalchowk,NSC	
2015/05/24 12:55,27.80,86.29,4.4,Dolakha,NSC	
2015/05/24 23:15,27.76,86.26,4.3,Dolakha,NSC	
2015/05/25 03:23,28.01,84.68,5.0,Gorkha,NSC	
2015/05/25 11:00,27.71,86.07,4.1,Dolakha,NSC	
2015/05/25 22:16,27.74,86.19,4.4,Dolakha,NSC	
2015/05/26 14:11,27.84,86.24,4.3,Dolakha,NSC	
2015/05/26 17:48,27.63,86.30,4.1,Dolakha,NSC	
2015/05/26 18:39,27.71,86.05,4.1,Dolakha,NSC	
2015/05/26 20:00,27.54,85.43,4.3,Lalitpur/Kavre,NSC	
2015/05/26 22:52,28.02,85.26,5.0,Rasuwa,NSC	
2015/05/27 12:03,27.59,86.20,4.2,Dolakha,NSC	
2015/05/27 13:15,27.93,85.53,4.5,Sindhupalchowk,NSC	
2015/05/29 08:30,28.17,84.72,4.0,Gorkha,NSC	
2015/05/29 05:20,28.07,84.94,4.2,Dhading,NSC	
2015/05/29 00:37,27.82,86.34,4.2,Dolakha,NSC	
2015/05/28 22:16,27.94,85.54,4.0,Sindhupalchowk,NSC	
2015/05/28 12:14,27.59,86.16,4.1,Dolakha,NSC	
2015/05/28 11:36,27.59,86.19,4.2,Dolakha,NSC	
2015/05/28 05:29,27.77,86.25,4.2,Dolakha,NSC	
2015/05/28 05:12,27.64,85.31,4.0,Kathmandu,NSC	
2015/05/28 03:40,27.95,84.80,4.0,Gorkha/Dhading,NSC	
2015/05/28 03:07,27.99,84.79,4.0,Gorkha/Dhading,NSC	
2015/05/27 22:29,28.04,85.13,4.2,Rasuwa/Nuwakot,NSC	
2015/05/27 13:16,27.89,85.53,4.6,Sindhupalchowk,NSC
2015/05/27 22:29,28.04,85.13,4.2,Rasuwa/Nuwakot,NSC
2015/05/28 03:07,27.99,84.79,4.0,Gorkha/Dhading,NSC
2015/05/28 03:40,27.95,84.80,4.0,Gorkha/Dhading,NSC
2015/05/28 05:12,27.64,85.31,4.0,Kathmandu,NSC
2015/05/28 05:29,27.77,86.25,4.2,Dolakha,NSC
2015/05/28 11:36,27.59,86.19,4.2,Dolakha,NSC
2015/05/28 12:14,27.59,86.16,4.1,Dolakha,NSC
2015/05/28 22:16,27.94,85.54,4.0,Sindhupalchowk,NSC
2015/05/29 00:37,27.82,86.34,4.2,Dolakha,NSC
2015/05/29 05:20,28.07,84.94,4.2,Dhading,NSC
2015/05/29 08:30,28.17,84.72,4.0,Gorkha,NSC
2015/05/29 12:30,28.01,84.84,4.8,Gorkha/Dhading,NSC
2015/05/29 15:44,28.0,84.98,5.2,Dhading,NSC
2015/05/30 01:52,27.75,85.21,4.0,Dhading /Nuwakot/Kathmandu,NSC
2015/05/30 20:35,28.01,85.19,4.0,Rasuwa/Nuwakot,NSC
2015/05/30 22:13,27.79,85.17,4.5,Nuwakot,NSC
2015/05/31 13:54,28.29,84.46,4.2,Lamjung,NSC
2015/06/01 04:35,27.98,85.51,4.0,Sindhupalchowk,NSC
2015/06/02 10:48,27.78,86.20,4.0,Dolakha,NSC
2015/06/03 02:45,27.84,85.78,4.1,Sindhupalchowk,NSC
2015/06/03 13:37,27.79,85.87,4.5,Sindhupalchowk,NSC
2015/06/03 14:39,27.76,86.07,4.2,Dolakha,NSC
2015/06/03 17:38,27.70,86.26,4.5,Dolakha,NSC
2015/06/04 16:15,27.76,86.20,4.0,Dolakha,NSC
2015/06/05 10:02,27.79,85.78,4.1,Sindhupalchowk,NSC
2015/06/05 14:16,27.70,85.22,4.0,Kathmandu,NSC
2015/06/06 02:33,28.26,85.86,4.2,Tibet/Sindhupalchok,NSC
2015/06/06 22:45,27.58,86.18,4.0,Dolakha,NSC
2015/06/07 11:02,27.90,85.64,4.6,Sindhupalchowk,NSC
2015/06/07	22:35,27.87,86.13,4.1,Dolakha,NSC
2015/06/10	02:50,27.87,85.81,4.1,Sindhupalchowk,NSC
2015/06/10	13:36,27.80,85.61,4.3,Sindhupalchowk,NSC
2015/06/10	14:51,27.62,86.10,4.2,Dolakha,NSC
2015/06/11	00:26,27.67,86.07,4.0,Dolakha,NSC
2015/06/11	10:02,27.80,85.78,4.6,Sindhupalchowk,NSC
2015/06/11	21:57,27.96,85.73,5.3,Sindhupalchowk,NSC
2015/06/12	01:22,28.21,84.81,4.6,Gorkha,NSC
2015/06/12	10:19,27.67,86.09,4.4,Dolakha,NSC
2015/06/13	07:03,27.73,86.16,5.2,Dolakha,NSC
2015/06/14	05:59,27.80,85.15,4.2,Nuwakot,NSC
2015/06/14	15:01,27.74,86.26,4.1,Dolakha,NSC
2015/06/15	15:52,27.87,85.72,4.1,Sindhupalchowk,NSC
2015/06/16	21:56,27.70,86.16,4.1,Dolakha,NSC
2015/06/17	05:58,27.68,85.28,4.4,Kathmandu,NSC
2015/06/17	06:14,27.91,85.59,5.2,Sindhupalchok,NSC
2015/06/17	06:26,27.90,85.58,4.0,Sindhupalchok,NSC
2015/06/17	08:00,28.27,85.94,5.1,Tibet,NSC
2015/06/18	8:24,28.14,85.11,4.1,Dhading,NSC
2015/06/19	13:50,28.26,84.92,4.0,Gorkha,NSC
2015/06/20	2:40,28.17,84.94,4.2,Gorkha,NSC
2015/06/21	19:26,27.80,86.00,4.3,Sindupalchok,NSC
2015/06/22	13:19,27.67,86.17,4.0,Dolakha,NSC
2015/06/24	14:59,27.85,85.75,4.0,Sindhupalchowk,NSC
2015/06/25	21:07,27.78,85.17,4.3,Nuwakot,NSC
2015/06/25	23:49,27.66,86.21,4.1,Dolakha,NSC
2015/06/25	23:51,27.94,85.49,4.2,Sindhupalchok,NSC
2015/06/26	14:45,27.58,85.39,4.1,Lalitpur,NSC
2015/06/26	18:02,27.74,86.28,4.2,Dolakha,NSC
2015/06/28	22:01,27.92,85.66,4.3,Sindhupalchok,NSC
2015/06/29	05:42,27.35,86.2,5.0,Ramechhap,NSC
2015/06/29	23:27,27.92,85.68,4.1,Sindhupalchowk,NSC
2015/06/29	23:34,27:93,85:64,4.0,Sindhupalchowk,NSC
2015/06/30	3:31,27.55,85.79,4.4,Kavre,NSC
2015/07/01	03:33,27.80,85.74,4.0,Sindhupalchowk,NSC
2015/07/01	09:12,27.71,86.12,4.0,Dolakha,NSC
2015/07/01	15:34,28.06,85.14,4.0,Nuwakot,NSC
2015/07/02	05:26,27.67,85.54,4.1,Kavre,NSC
2015/07/02	07:41,27.97,85.62,5.0,Sindhupalchowk,NSC
2015/07/04	01:49,27.73,85.00,4.6,Dhading,NSC
2015/07/05	01:27,27.86,85.87,4.4,Sindupalchok,NSC
2015/07/05	10:07,27.67,86.20,4.2,Dolakha,NSC
2015/07/06	10:48,27.69,86.20,4.3,Dolakha,NSC
2015/07/06	21:14,27.96,85.75,4.4,Sindhupalchok,NSC
2015/07/08	09:55,27.92,85.68,4.2,Sindhupalchok,NSC
2015/07/08	10:19,27.60,86.23,4.1,Dolakha,NSC
2015/07/09	17:59,27.89,85.73,4.4,Sindupalchok,NSC
2015/07/11	02:28,27.80,86.23,4.4,Dolakha,NSC
2015/07/13	16:01,28.06,85.34,4.0,Rasuwa,NSC
2015/07/13	17:39,27.63,86.09,4.2,Dolakha,NSC
2015/07/17	05:09,28.18,84.74,4.0,Gorkha,NSC
2015/07/21	08:09,27.86,86.39,4.3,Dolakha,NSC
2015/07/22	22:14,27.70,85.32,4.6,Kathmandu,NSC/RSC
2015/07/25	00:05,27.61,86.28,4.3,Dolakha,NSC
2015/07/25	20:04,27.66,86.00,4.5,Dolakha,NSC
2015/07/26	09:30,27.68,86.22,4.1,Dolakha,NSC
2015/07/26	10:03,27.85,85.75,4.0,Sindupalchok,NSC
2015/07/27	18:23,27.94,85.48,4.2,Nuwakot,NSC
2015/07/28	09:21,27.80,85.75,4.1,Sindupalchok,NSC
2015/07/28	18:38,27.68,86.04,4.0,Dolakha,NSC
2015/07/28	21:23,27.59,86.17,4.1,Dolakha,NSC
2015/07/30	20:18,27.66,86.09,4.5,Dolakha,NSC/RSC
2015/08/01	07:22,27.81,85.71,4.2,Sindupalchok,NSC
2015/08/05	13:59,27.64,86.07,4.3,Dolakha,NSC
2015/08/05	17:38,27.63,86.07,4.1,Dolakha,NSC
2015/08/06	20:36,27.86,85.76,4.1,Sindupalchok,NSC
2015/08/07	11:57,27.50,85.50,4.4,Kavre,NSC
2015/08/08	06:24,27.77,85.70,4.0,Sindupalchok,NSC
2015/08/08	21:25,27.69,86.26,4.1,Dolakha,NSC
2015/08/09	07:55,27.94,85.52,4.1,Sindupalchok,NSC
2015/08/10	04:15,28.14,84.72,4.9,Gorkha,NSC
2015/08/11	10:42,27.70,85.29,4.3,Kathmandu,NSC
2015/08/13	01:49,27.72,85.20,4.0,Kathmandu,NSC
2015/08/14	18:47,27.59,85.97,4.3,Dolakha,NSC
2015/08/15	10:10,27.87,86.08,4.1,Dolakha,NSC
2015/08/15	23:56,27.71,86.05,4.8,Dolakha,NSC
2015/08/18	04:08,27.93,86.14,4.8,Dolakha,NSC
2015/08/20	11:47,28.00,85.29,4.6,Rasuwa,NSC
2015/08/21	12:21,27.96,85.48,4.0,Nuwakot,NSC
2015/08/23	14:47,27.87,86.17,5.1,Dolakha,NSC
2015/08/25	15:08,27.68,86.22,4.0,Dolakha,NSC
2015/08/27	00:51,27.85,85.74,4.2,Sindhupalchowk,NSC
2015/08/27	06:07,28.12,84.89,4.1,Gorkha,NSC
2015/08/30	03:09,27.92,84.94,4.3,Dhading,NSC
2015/08/30	08:26,27.66,86.23,4.1,Dolakha,NSC
